country_code,country,year,indicator_name,indicator_variable,value
CAN,Canada,2012,GDP growth (annual %),gdp_growth,1.75566133205234
CAN,Canada,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.392
CAN,Canada,2013,GDP growth (annual %),gdp_growth,2.32581356612762
CAN,Canada,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.143
CAN,Canada,2014,GDP growth (annual %),gdp_growth,2.87346675579731
CAN,Canada,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.023
CAN,Canada,2015,GDP growth (annual %),gdp_growth,0.64997101491096
CAN,Canada,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.945
CAN,Canada,2016,GDP growth (annual %),gdp_growth,1.03855091989323
CAN,Canada,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.038
CAN,Canada,2017,GDP growth (annual %),gdp_growth,3.03383491841392
CAN,Canada,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.426
CAN,Canada,2018,GDP growth (annual %),gdp_growth,2.74296341402246
CAN,Canada,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.837
CAN,Canada,2019,GDP growth (annual %),gdp_growth,1.90843193887251
CAN,Canada,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.69
CAN,Canada,2020,GDP growth (annual %),gdp_growth,-5.03823342794087
CAN,Canada,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.657
CAN,Canada,2021,GDP growth (annual %),gdp_growth,5.95052804984759
CAN,Canada,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.527
CAN,Canada,2022,GDP growth (annual %),gdp_growth,4.69541985045903
CAN,Canada,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.279
CAN,Canada,2023,GDP growth (annual %),gdp_growth,1.95308552199025
CAN,Canada,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.415
CAN,Canada,2024,GDP growth (annual %),gdp_growth,2.04626605401701
CAN,Canada,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.351
CHN,China,2010,GDP growth (annual %),gdp_growth,10.5916903885704
CHN,China,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.53
CHN,China,2011,GDP growth (annual %),gdp_growth,9.46205248298186
CHN,China,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.55
CHN,China,2012,GDP growth (annual %),gdp_growth,7.8578201481217
CHN,China,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.58
CHN,China,2013,GDP growth (annual %),gdp_growth,7.77842954757257
CHN,China,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.6
CHN,China,2014,GDP growth (annual %),gdp_growth,7.46100735778161
CHN,China,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.63
CHN,China,2015,GDP growth (annual %),gdp_growth,6.98162255562367
CHN,China,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.65
CHN,China,2016,GDP growth (annual %),gdp_growth,6.7736886867727
CHN,China,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.56
CHN,China,2017,GDP growth (annual %),gdp_growth,6.89123916636191
CHN,China,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.47
CHN,China,2018,GDP growth (annual %),gdp_growth,6.757806142324
CHN,China,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.31
CHN,China,2019,GDP growth (annual %),gdp_growth,6.06737806333672
CHN,China,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.56
CHN,China,2020,GDP growth (annual %),gdp_growth,2.33950385203023
CHN,China,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.0
CHN,China,2021,GDP growth (annual %),gdp_growth,8.57038414981781
CHN,China,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.55
CHN,China,2022,GDP growth (annual %),gdp_growth,3.13385438394069
CHN,China,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.98
CHN,China,2023,GDP growth (annual %),gdp_growth,5.41600334492955
CHN,China,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.67
CHN,China,2024,GDP growth (annual %),gdp_growth,4.95830378788091
CHN,China,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.59
DEU,Germany,2010,GDP growth (annual %),gdp_growth,4.13463778522758
DEU,Germany,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.043
DEU,Germany,2011,GDP growth (annual %),gdp_growth,3.75796884489337
DEU,Germany,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.967
DEU,Germany,2012,GDP growth (annual %),gdp_growth,0.463512036709204
DEU,Germany,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.372
DEU,Germany,2013,GDP growth (annual %),gdp_growth,0.396995583779145
DEU,Germany,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.316
DEU,Germany,2014,GDP growth (annual %),gdp_growth,2.18018602168017
DEU,Germany,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.979
DEU,Germany,2015,GDP growth (annual %),gdp_growth,1.66300602334775
DEU,Germany,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.612
DEU,Germany,2016,GDP growth (annual %),gdp_growth,2.22222216259371
DEU,Germany,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.104
DEU,Germany,2017,GDP growth (annual %),gdp_growth,2.797906720551
DEU,Germany,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.781
DEU,Germany,2018,GDP growth (annual %),gdp_growth,1.13569604599849
DEU,Germany,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.384
DEU,Germany,2019,GDP growth (annual %),gdp_growth,0.977734697038784
DEU,Germany,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.163
DEU,Germany,2020,GDP growth (annual %),gdp_growth,-4.13191443239947
DEU,Germany,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.881
DEU,Germany,2021,GDP growth (annual %),gdp_growth,3.90999994204108
DEU,Germany,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.594
DEU,Germany,2022,GDP growth (annual %),gdp_growth,1.8092581243061
DEU,Germany,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.137
DEU,Germany,2023,GDP growth (annual %),gdp_growth,-0.869647578573321
DEU,Germany,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.071
DEU,Germany,2024,GDP growth (annual %),gdp_growth,-0.495851897260366
DEU,Germany,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.4
FRA,France,2010,GDP growth (annual %),gdp_growth,2.00032476039051
FRA,France,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.279
FRA,France,2011,GDP growth (annual %),gdp_growth,2.43757653729007
FRA,France,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.228
FRA,France,2012,GDP growth (annual %),gdp_growth,0.183835264973013
FRA,France,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.841
FRA,France,2013,GDP growth (annual %),gdp_growth,0.781756446231
FRA,France,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.913
FRA,France,2014,GDP growth (annual %),gdp_growth,0.997832947295251
FRA,France,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,10.273
FRA,France,2015,GDP growth (annual %),gdp_growth,1.06675474783462
FRA,France,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,10.354
FRA,France,2016,GDP growth (annual %),gdp_growth,0.860031075424033
FRA,France,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,10.057
FRA,France,2017,GDP growth (annual %),gdp_growth,2.08361485997399
FRA,France,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.409
FRA,France,2018,GDP growth (annual %),gdp_growth,1.64590872395887
FRA,France,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.018
FRA,France,2019,GDP growth (annual %),gdp_growth,2.02744646419237
FRA,France,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.415
FRA,France,2020,GDP growth (annual %),gdp_growth,-7.44064589948231
FRA,France,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.009
FRA,France,2021,GDP growth (annual %),gdp_growth,6.88233783360239
FRA,France,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.871
FRA,France,2022,GDP growth (annual %),gdp_growth,2.71676264185913
FRA,France,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.303
FRA,France,2023,GDP growth (annual %),gdp_growth,1.43921494437743
FRA,France,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.335
FRA,France,2024,GDP growth (annual %),gdp_growth,1.19046798275883
FRA,France,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.4
GBR,United Kingdom,2010,GDP growth (annual %),gdp_growth,2.26054460931586
GBR,United Kingdom,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.973
GBR,United Kingdom,2011,GDP growth (annual %),gdp_growth,0.851437739020326
GBR,United Kingdom,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.195
GBR,United Kingdom,2012,GDP growth (annual %),gdp_growth,1.52826034721852
GBR,United Kingdom,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.279
GBR,United Kingdom,2013,GDP growth (annual %),gdp_growth,1.71846961308464
GBR,United Kingdom,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.752
GBR,United Kingdom,2014,GDP growth (annual %),gdp_growth,3.16017351468152
GBR,United Kingdom,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.398
GBR,United Kingdom,2015,GDP growth (annual %),gdp_growth,2.14040560033371
GBR,United Kingdom,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.552
GBR,United Kingdom,2016,GDP growth (annual %),gdp_growth,2.20652020635357
GBR,United Kingdom,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.909
GBR,United Kingdom,2017,GDP growth (annual %),gdp_growth,3.02322219840339
GBR,United Kingdom,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.501
GBR,United Kingdom,2018,GDP growth (annual %),gdp_growth,1.55133095078786
GBR,United Kingdom,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.145
GBR,United Kingdom,2019,GDP growth (annual %),gdp_growth,1.25629899760824
GBR,United Kingdom,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.657
GBR,United Kingdom,2020,GDP growth (annual %),gdp_growth,-10.047896637362
GBR,United Kingdom,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.472
GBR,United Kingdom,2021,GDP growth (annual %),gdp_growth,8.5431118453255
GBR,United Kingdom,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.864
GBR,United Kingdom,2022,GDP growth (annual %),gdp_growth,5.14970388522993
GBR,United Kingdom,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.768
GBR,United Kingdom,2023,GDP growth (annual %),gdp_growth,0.271650048355255
GBR,United Kingdom,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.025
GBR,United Kingdom,2024,GDP growth (annual %),gdp_growth,1.08027716858781
GBR,United Kingdom,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.361
IDN,Indonesia,2010,GDP growth (annual %),gdp_growth,6.22385418062366
IDN,Indonesia,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.614
IDN,Indonesia,2011,GDP growth (annual %),gdp_growth,6.16978420771008
IDN,Indonesia,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.153
IDN,Indonesia,2012,GDP growth (annual %),gdp_growth,6.03005065305615
IDN,Indonesia,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.468
IDN,Indonesia,2013,GDP growth (annual %),gdp_growth,5.5572636889101
IDN,Indonesia,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.336
IDN,Indonesia,2014,GDP growth (annual %),gdp_growth,5.006668425755
IDN,Indonesia,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.049
IDN,Indonesia,2015,GDP growth (annual %),gdp_growth,4.87632230022123
IDN,Indonesia,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.514
IDN,Indonesia,2016,GDP growth (annual %),gdp_growth,5.03306918280177
IDN,Indonesia,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.301
IDN,Indonesia,2017,GDP growth (annual %),gdp_growth,5.06978590134916
IDN,Indonesia,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.783
IDN,Indonesia,2018,GDP growth (annual %),gdp_growth,5.17429153955024
IDN,Indonesia,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.387
IDN,Indonesia,2019,GDP growth (annual %),gdp_growth,5.01928768046282
IDN,Indonesia,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.59
IDN,Indonesia,2020,GDP growth (annual %),gdp_growth,-2.06551182934165
IDN,Indonesia,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.255
IDN,Indonesia,2021,GDP growth (annual %),gdp_growth,3.70288562827751
IDN,Indonesia,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.827
IDN,Indonesia,2022,GDP growth (annual %),gdp_growth,5.30719722664799
IDN,Indonesia,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.462
IDN,Indonesia,2023,GDP growth (annual %),gdp_growth,5.04883117855516
IDN,Indonesia,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.308
IDN,Indonesia,2024,GDP growth (annual %),gdp_growth,5.03257477088519
IDN,Indonesia,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.301
IND,India,2010,GDP growth (annual %),gdp_growth,8.49758470165625
IND,India,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.631
IND,India,2011,GDP growth (annual %),gdp_growth,5.24131620024293
IND,India,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.609
IND,India,2012,GDP growth (annual %),gdp_growth,5.45638755164772
IND,India,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.645
IND,India,2013,GDP growth (annual %),gdp_growth,6.38610640091713
IND,India,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.678
IND,India,2014,GDP growth (annual %),gdp_growth,7.41022760516977
IND,India,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.656
IND,India,2015,GDP growth (annual %),gdp_growth,7.99625378567987
IND,India,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.629
IND,India,2016,GDP growth (annual %),gdp_growth,8.25630550176662
IND,India,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.611
IND,India,2017,GDP growth (annual %),gdp_growth,6.79538341902422
IND,India,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.626
IND,India,2018,GDP growth (annual %),gdp_growth,6.45385134495295
IND,India,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.652
IND,India,2019,GDP growth (annual %),gdp_growth,3.87143694070524
IND,India,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.51
IND,India,2020,GDP growth (annual %),gdp_growth,-5.77772470687303
IND,India,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.859
IND,India,2021,GDP growth (annual %),gdp_growth,9.68959249191741
IND,India,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.38
IND,India,2022,GDP growth (annual %),gdp_growth,7.6093649776932
IND,India,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.822
IND,India,2023,GDP growth (annual %),gdp_growth,7.210224629335
IND,India,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.172
IND,India,2024,GDP growth (annual %),gdp_growth,7.09927893176518
IND,India,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,4.173
ITA,Italy,2010,GDP growth (annual %),gdp_growth,1.52910573247101
ITA,Italy,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.363
ITA,Italy,2011,GDP growth (annual %),gdp_growth,0.695463154440176
ITA,Italy,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.359
ITA,Italy,2012,GDP growth (annual %),gdp_growth,-3.12523877282996
ITA,Italy,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,10.655
ITA,Italy,2013,GDP growth (annual %),gdp_growth,-1.81802510749792
ITA,Italy,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,12.149
ITA,Italy,2014,GDP growth (annual %),gdp_growth,-0.00138761730454462
ITA,Italy,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,12.683
ITA,Italy,2015,GDP growth (annual %),gdp_growth,0.885667635240807
ITA,Italy,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,11.896
ITA,Italy,2016,GDP growth (annual %),gdp_growth,1.23622108511661
ITA,Italy,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,11.688
ITA,Italy,2017,GDP growth (annual %),gdp_growth,1.60369995294101
ITA,Italy,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,11.211
ITA,Italy,2018,GDP growth (annual %),gdp_growth,0.826646712344115
ITA,Italy,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,10.538
ITA,Italy,2019,GDP growth (annual %),gdp_growth,0.429162533780342
ITA,Italy,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.884
ITA,Italy,2020,GDP growth (annual %),gdp_growth,-8.86822122185345
ITA,Italy,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.192
ITA,Italy,2021,GDP growth (annual %),gdp_growth,8.93106210800055
ITA,Italy,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.497
ITA,Italy,2022,GDP growth (annual %),gdp_growth,4.82117669913565
ITA,Italy,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.069
ITA,Italy,2023,GDP growth (annual %),gdp_growth,0.922796543670316
ITA,Italy,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.627
ITA,Italy,2024,GDP growth (annual %),gdp_growth,0.783039135276795
ITA,Italy,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.5
JPN,Japan,2010,GDP growth (annual %),gdp_growth,4.13645589222239
